,best_match_score,Facility Name,Provider Name,Address,Provider Street Address,Provider City,City,Provider State,State
441609,1.7717083531078646,CHI HEALTH ST FRANCIS,CHI HEALTH ST FRANCIS,2620 WEST FAIDLEY AVE,2620 WEST FAIDLEY AVE,GRAND ISLAND,GRAND ISLAND,NE,NE
43185,1.7722930517613722,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,ONE CAPITAL WAY,PENNINGTON,PENNINGTON,NJ,NJ
487854,1.773302562954229,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,1105 CENTRAL EXPRESSWAY NORTH,1105 CENTRAL EXPRESSWAY NORTH,ALLEN,ALLEN,TX,TX
522962,1.7734395224422692,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,9200 W WISCONSIN AVE,9200 W WISCONSIN AVE,MILWAUKEE,MILWAUKEE,WI,WI
416210,1.7743493064733715,SAINT PETER'S UNIVERSITY HOSPITAL,SAINT PETER'S UNIVERSITY HOSPITAL,254 EASTON AVE,254 EASTON AVE,NEW BRUNSWICK,NEW BRUNSWICK,NJ,NJ
299787,1.7750703183109655,UNIVERSITY MEDICAL CENTER NEW ORLEANS,UNIVERSITY MEDICAL CENTER NEW ORLEANS,2000 CANAL STREET,2000 CANAL STREET,NEW ORLEANS,NEW ORLEANS,LA,LA
136957,1.775142983741622,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,8333 FELCH ST,ZEELAND,ZEELAND,MI,MI
396090,1.7755171568223498,FREEMAN HEALTH SYSTEM - FREEMAN WEST,FREEMAN HEALTH SYSTEM - FREEMAN WEST,1102 WEST 32ND STREET,1102 WEST 32ND STREET,JOPLIN,JOPLIN,MO,MO
428791,1.7759767930595936,KAISER FOUNDATION HOSP SO SACRAMENTO,KAISER FOUNDATION HOSP SO SACRAMENTO,6600 BRUCEVILLE ROAD,6600 BRUCEVILLE ROAD,SACRAMENTO,SACRAMENTO,CA,CA
266036,1.7761882341459858,MEDSTAR GOOD SAMARITAN HOSPITAL,MEDSTAR GOOD SAMARITAN HOSPITAL,5601 LOCH RAVEN BOULEVARD,5601 LOCH RAVEN BOULEVARD,BALTIMORE,BALTIMORE,MD,MD
107758,1.7762712219578012,UNITED REGIONAL HEALTH CARE SYSTEM,UNITED REGIONAL HEALTH CARE SYSTEM,1600 11TH STREET,1600 11TH STREET,WICHITA FALLS,WICHITA FALLS,TX,TX
444596,1.7773421356481116,SOUTHEASTERN REGIONAL MEDICAL CENTER,SOUTHEASTERN REGIONAL MEDICAL CENTER,300 W 27 ST  PO BOX 1408,300 W 27 ST  PO BOX 1408,LUMBERTON,LUMBERTON,NC,NC
46267,1.7774154509131157,RIVERVIEW MEDICAL CENTER,RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,ONE RIVERVIEW PLAZA,RED BANK,RED BANK,NJ,NJ
311676,1.7774650824799487,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,750 EAST 34TH ST,750 EAST 34TH ST,HIBBING,HIBBING,MN,MN
129493,1.778252821864971,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,1015 MEDICAL CENTER PARKWAY,SELMA,SELMA,AL,AL
517073,1.7787647042973334,SAINT FRANCIS BARTLETT MEDICAL CENTER,SAINT FRANCIS BARTLETT MEDICAL CENTER,2986 KATE BOND RD,2986 KATE BOND RD,BARTLETT,BARTLETT,TN,TN
356314,1.7791403259862795,NORTHBAY MEDICAL CENTER,NORTHBAY MEDICAL CENTER,1200 B  GALE WILSON BLVD,1200 B  GALE WILSON BLVD,FAIRFIELD,FAIRFIELD,CA,CA
306537,1.7793529839071465,ASPIRUS WAUSAU HOSPITAL,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,333 PINE RIDGE BLVD,WAUSAU,WAUSAU,WI,WI
16299,1.779651204877385,MAYO CLINIC HEALTH SYSTEM - MANKATO,MAYO CLINIC HEALTH SYSTEM - MANKATO,1025 MARSH STREET,1025 MARSH STREET,MANKATO,MANKATO,MN,MN
217751,1.780758340438165,STATEN ISLAND UNIVERSITY HOSPITAL,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,475 SEAVIEW AVENUE,STATEN ISLAND,STATEN ISLAND,NY,NY
223990,1.7831578989598043,CAREPOINT HEALTH-CHRIST HOSPITAL,CAREPOINT HEALTH-CHRIST HOSPITAL,176 PALISADE AVE,176 PALISADE AVE,JERSEY CITY,JERSEY CITY,NJ,NJ
296007,1.7840479600468062,GEORGE WASHINGTON UNIV HOSPITAL,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,900 23RD ST NW,WASHINGTON,WASHINGTON,DC,DC
330595,1.784439396559312,ROGER WILLIAMS MEDICAL CENTER,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,825 CHALKSTONE AVENUE,PROVIDENCE,PROVIDENCE,RI,RI
194421,1.7844515830344223,MENA REGIONAL HEALTH SYSTEM,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,311 NORTH MORROW STREET,MENA,MENA,AR,AR
522512,1.7848703781081519,EL CAMPO MEMORIAL HOSPITAL,EL CAMPO MEMORIAL HOSPITAL,303 SANDY CORNER RD,303 SANDY CORNER RD,EL CAMPO,EL CAMPO,TX,TX
344849,1.7852458743710138,CAPITAL HEALTH SYSTEM-FULD CAMPUS,CAPITAL HEALTH SYSTEM-FULD CAMPUS,750 BRUNSWICK AVE,750 BRUNSWICK AVE,TRENTON,TRENTON,NJ,NJ
509302,1.7857026343510607,GARDEN GROVE HOSPITAL & MEDICAL CENTER,GARDEN GROVE HOSPITAL & MEDICAL CENTER,12601 GARDEN GROVE BLVD,12601 GARDEN GROVE BLVD,GARDEN GROVE,GARDEN GROVE,CA,CA
96687,1.78664296761579,METHODIST HOSPITAL OF SOUTHERN CA,METHODIST HOSPITAL OF SOUTHERN CA,300 W HUNTINGTON DR,300 W HUNTINGTON DR,ARCADIA,ARCADIA,CA,CA
349283,1.7905767983712342,MISSION HOSPITAL REGIONAL MED CENTER,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,27700 MEDICAL CENTER RD,MISSION VIEJO,MISSION VIEJO,CA,CA
51306,1.791214105691766,FAIRVIEW SOUTHDALE HOSPITAL,FAIRVIEW SOUTHDALE HOSPITAL,6401 FRANCE AVENUE SOUTH,6401 FRANCE AVENUE SOUTH,EDINA,EDINA,MN,MN
101763,1.7916517582338507,AURELIA OSBORN FOX MEMORIAL HOSPITAL,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONE NORTON AVENUE,ONEONTA,ONEONTA,NY,NY
443728,1.792263495093904,OUR LADY OF BELLEFONTE HOSPITAL,OUR LADY OF BELLEFONTE HOSPITAL,1000 SAINT CHRISTOPHER DRIVE,1000 SAINT CHRISTOPHER DRIVE,ASHLAND,ASHLAND,KY,KY
487285,1.7923046317898312,HEALTHEAST ST JOHN'S HOSPITAL,HEALTHEAST ST JOHN'S HOSPITAL,1575 BEAM AVENUE,1575 BEAM AVENUE,MAPLEWOOD,MAPLEWOOD,MN,MN
51561,1.792702062079831,AURORA BAYCARE MEDICAL CTR,AURORA BAYCARE MEDICAL CTR,2845 GREENBRIER RD,2845 GREENBRIER RD,GREEN BAY,GREEN BAY,WI,WI
246492,1.7928413833629553,UNITY HOSPITAL OF ROCHESTER,UNITY HOSPITAL OF ROCHESTER,1555 LONG POND ROAD,1555 LONG POND ROAD,ROCHESTER,ROCHESTER,NY,NY
461951,1.7931620138445719,RUTHERFORD REGIONAL MEDICAL CENTER,RUTHERFORD REGIONAL MEDICAL CENTER,288 SOUTH RIDGECREST AVE,288 SOUTH RIDGECREST AVE,RUTHERFORDTON,RUTHERFORDTON,NC,NC
88702,1.7933124821542679,BANNER THUNDERBIRD MEDICAL CENTER,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,5555 WEST THUNDERBIRD ROAD,GLENDALE,GLENDALE,AZ,AZ
453362,1.7936386082677565,SAINT BARNABAS MEDICAL CENTER,SAINT BARNABAS MEDICAL CENTER,94 OLD SHORT HILLS ROAD,94 OLD SHORT HILLS ROAD,LIVINGSTON,LIVINGSTON,NJ,NJ
458062,1.794773685294718,LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,7901 WALKER STREET,LA PALMA,LA PALMA,CA,CA
373741,1.7954300189837915,SSM HEALTH ST MARY'S HOSPITAL - MADISON,SSM HEALTH ST MARY'S HOSPITAL - MADISON,700 SOUTH PARK ST,700 SOUTH PARK ST,MADISON,MADISON,WI,WI
548833,1.795898526725857,ST ELIZABETH MEDICAL CENTER NORTH,ST ELIZABETH MEDICAL CENTER NORTH,1 MEDICAL VILLAGE DRIVE,1 MEDICAL VILLAGE DRIVE,EDGEWOOD,EDGEWOOD,KY,KY
331605,1.796009797792143,SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,751 SOUTH BASCOM AVENUE,SAN JOSE,SAN JOSE,CA,CA
487080,1.7965003433185476,MONTEFIORE MOUNT VERNON HOSPITAL,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,12 NORTH 7TH AVENUE,MOUNT VERNON,MOUNT VERNON,NY,NY
495261,1.7971523938680523,SAUK PRAIRIE HOSPITAL,SAUK PRAIRIE HOSPITAL,260 26TH STREET,260 26TH STREET,PRAIRIE DU SAC,PRAIRIE DU SAC,WI,WI
447060,1.7973041046535732,GREAT PLAINS HEALTH,GREAT PLAINS HEALTH,601 WEST LEOTA ST,601 WEST LEOTA ST,NORTH PLATTE,NORTH PLATTE,NE,NE
60895,1.7974532429627843,AURORA MEDICAL CTR WASHINGTON COUNTY,AURORA MEDICAL CTR WASHINGTON COUNTY,1032 E SUMNER ST,1032 E SUMNER ST,HARTFORD,HARTFORD,WI,WI
313649,1.7978235675916383,KAISER FOUNDATION HOSPITAL-SANTA CLARA,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,700 LAWRENCE EXPRESSWAY,SANTA CLARA,SANTA CLARA,CA,CA
304078,1.7983714709829723,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,5300 MILITARY ROAD,5300 MILITARY ROAD,LEWISTON,LEWISTON,NY,NY
319282,1.798832219831668,BAPTIST MEDICAL CENTER - BEACHES,BAPTIST MEDICAL CENTER - BEACHES,1350 13TH AVE S,1350 13TH AVE S,JACKSONVILLE BEACH,JACKSONVILLE BEACH,FL,FL
481856,1.7988918317435159,LEGACY MERIDIAN PARK MEDICAL CENTER,LEGACY MERIDIAN PARK MEDICAL CENTER,19300 SW 65TH AVENUE,19300 SW 65TH AVENUE,TUALATIN,TUALATIN,OR,OR
216680,1.7991433333814242,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,2425 GEARY BLVD,SAN FRANCISCO,SAN FRANCISCO,CA,CA
507025,1.800107189162515,SSM HEALTH ST CLARE HOSPITAL - BARABOO,SSM HEALTH ST CLARE HOSPITAL - BARABOO,707 14TH ST,707 14TH ST,BARABOO,BARABOO,WI,WI
392277,1.8002981465288386,SAINT THOMAS RIVER PARK HOSPITAL,SAINT THOMAS RIVER PARK HOSPITAL,1559 SPARTA STREET,1559 SPARTA STREET,MC MINNVILLE,MC MINNVILLE,TN,TN
424366,1.8003148238913604,PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,1500 DIVISION STREET,1500 DIVISION STREET,OREGON CITY,OREGON CITY,OR,OR
119738,1.8012549645569993,DUKE UNIVERSITY HOSPITAL,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,PO BOX 3814 DUMC  ERWIN RD,DURHAM,DURHAM,NC,NC
209958,1.8019183313134914,BANNER BOSWELL MEDICAL CENTER,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,SUN CITY,AZ,AZ
204209,1.8021554165413645,SSM HEALTH DEPAUL HOSPITAL ST LOUIS,SSM HEALTH DEPAUL HOSPITAL ST LOUIS,12303 DEPAUL DRIVE,12303 DEPAUL DRIVE,BRIDGETON,BRIDGETON,MO,MO
565190,1.802588915057735,MIDMICHIGAN MEDICAL CENTER-GRATIOT,MIDMICHIGAN MEDICAL CENTER-GRATIOT,300 E WARWICK DR,300 E WARWICK DR,ALMA,ALMA,MI,MI
310956,1.8026723002822629,CAROLINAS HEALTHCARE SYSTEM NORTHEAST,CAROLINAS HEALTHCARE SYSTEM NORTHEAST,920 CHURCH ST N,920 CHURCH ST N,CONCORD,CONCORD,NC,NC
325685,1.803348446114445,DESERT REGIONAL MEDICAL CENTER,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,PALM SPRINGS,CA,CA
189442,1.8038268449606076,KAISER FOUNDATION HOSPITAL-SANTA ROSA,KAISER FOUNDATION HOSPITAL-SANTA ROSA,401 BICENTENNIAL WAY,401 BICENTENNIAL WAY,SANTA ROSA,SANTA ROSA,CA,CA
28266,1.8041430526469715,MERIT HEALTH RIVER OAKS,MERIT HEALTH RIVER OAKS,1030 RIVER OAKS DRIVE,1030 RIVER OAKS DRIVE,FLOWOOD,FLOWOOD,MS,MS
418309,1.804793808224544,EAST OHIO REGIONAL HOSPITAL,EAST OHIO REGIONAL HOSPITAL,90 NORTH FOURTH STREET,90 NORTH FOURTH STREET,MARTINS FERRY,MARTINS FERRY,OH,OH
139609,1.8064253371770636,BEAVER DAM COMMUNITY HOSPITAL,BEAVER DAM COMMUNITY HOSPITAL,707 S UNIVERSITY AVE,707 S UNIVERSITY AVE,BEAVER DAM,BEAVER DAM,WI,WI
123069,1.8071511254522163,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,169 RIVERSIDE DRIVE,BINGHAMTON,BINGHAMTON,NY,NY
563528,1.8072900852621445,LEONARD J CHABERT MEDICAL CENTER,LEONARD J CHABERT MEDICAL CENTER,1978 INDUSTRIAL BLVD,1978 INDUSTRIAL BLVD,HOUMA,HOUMA,LA,LA
41088,1.8077142873674645,AURORA MEDICAL CTR MANITOWOC COUNTY,AURORA MEDICAL CTR MANITOWOC COUNTY,5000 MEMORIAL DRIVE,5000 MEMORIAL DRIVE,TWO RIVERS,TWO RIVERS,WI,WI
18887,1.8090084855496438,SOUTHEAST ALABAMA MEDICAL CENTER,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,1108 ROSS CLARK CIRCLE,DOTHAN,DOTHAN,AL,AL
543570,1.8101856104054346,HARRISBURG MEDICAL CENTER,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,HARRISBURG,IL,IL
151671,1.810457043411764,YALE-NEW HAVEN HOSPITAL,YALE-NEW HAVEN HOSPITAL,20 YORK ST,20 YORK ST,NEW HAVEN,NEW HAVEN,CT,CT
33527,1.810665717758396,HABERSHAM COUNTY MEDICAL CTR,HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,541 HISTORIC HIGHWAY 441-NORTH,DEMOREST,DEMOREST,GA,GA
463484,1.8110183681163854,HACKENSACK-UMC MOUNTAINSIDE,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,BAY AND HIGHLAND AVE,MONTCLAIR,MONTCLAIR,NJ,NJ
567839,1.8141348136832227,WESTERN MARYLAND REGIONAL MEDICAL CENTER,WESTERN MARYLAND REGIONAL MEDICAL CENTER,12500 WILLOWBROOK ROAD,12500 WILLOWBROOK ROAD,CUMBERLAND,CUMBERLAND,MD,MD
16302,1.8141374168802331,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,368 NE FRANKLIN ST,LAKE CITY,LAKE CITY,FL,FL
373009,1.8152339987655368,UNIVERSITY OF MD HARFORD MEMORIAL HOSPITAL,UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL,501 SOUTH  UNION AVENUE,501 SOUTH  UNION AVENUE,HAVRE DE GRACE,HAVRE DE GRACE,MD,MD
332457,1.8167680384480072,SOUTH BALDWIN REGIONAL MEDICAL CENTER,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,1613 NORTH MCKENZIE STREET,FOLEY,FOLEY,AL,AL
568034,1.8167854149667984,GRAND STRAND REGIONAL MEDICAL CENTER,GRAND STRAND REGIONAL MEDICAL CENTER,809 82ND PARKWAY,809 82ND PARKWAY,MYRTLE BEACH,MYRTLE BEACH,SC,SC
557476,1.8169472776845141,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,975 SERENO DR,VALLEJO,VALLEJO,CA,CA
273440,1.8171183013865397,MERCY MEDICAL CENTER REDDING,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS","2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,REDDING,CA,CA
189232,1.8174421896368465,BEAUMONT HOSPITAL - FARMINGTON HILLS,BEAUMONT HOSPITAL - FARMINGTON HILLS,28050 GRAND RIVER AVENUE,28050 GRAND RIVER AVENUE,FARMINGTON HILLS,FARMINGTON HILLS,MI,MI
82189,1.8181085579310874,"HOSPITAL OF CENTRAL CONNECTICUT, THE","HOSPITAL OF CENTRAL CONNECTICUT, THE",100 GRAND STREET,100 GRAND STREET,NEW BRITAIN,NEW BRITAIN,CT,CT
9855,1.8203969468184777,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,25 POCONO ROAD,25 POCONO ROAD,DENVILLE,DENVILLE,NJ,NJ
289886,1.8210751326707042,WAYNE MEDICAL CENTER,WAYNE MEDICAL CENTER,103 J V MANGUBAT DR,103 J V MANGUBAT DR,WAYNESBORO,WAYNESBORO,TN,TN
8723,1.82122372510403,CENTRAL DUPAGE HOSPITAL,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,25 NORTH WINFIELD ROAD,WINFIELD,WINFIELD,IL,IL
418908,1.8223718479294002,THE MEDICAL CENTER AT BOWLING GREEN,THE MEDICAL CENTER AT BOWLING GREEN,250 PARK STREET,250 PARK STREET,BOWLING GREEN,BOWLING GREEN,KY,KY
207602,1.8226469211392635,SAN JOAQUIN GENERAL HOSPITAL,SAN JOAQUIN GENERAL HOSPITAL,500 W HOSPITAL ROAD,500 W HOSPITAL ROAD,FRENCH CAMP,FRENCH CAMP,CA,CA
64706,1.8236248077606048,SENTARA NORTHERN VIRGINIA MEDICAL CENTER,SENTARA NORTHERN VIRGINIA MEDICAL CENTER,2300 OPITZ BOULEVARD,2300 OPITZ BOULEVARD,WOODBRIDGE,WOODBRIDGE,VA,VA
431456,1.8244313518488702,DIXIE REGIONAL MEDICAL CENTER,DIXIE REGIONAL MEDICAL CENTER,1380 EAST MEDICAL CENTER DRIVE,1380 EAST MEDICAL CENTER DRIVE,ST GEORGE,ST GEORGE,UT,UT
455557,1.824447660177921,FAITH REGIONAL HEALTH SERVICES,FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,2700 WEST NORFOLK AVE,NORFOLK,NORFOLK,NE,NE
513781,1.8249518210061155,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,1650 W COLLEGE ST,1650 W COLLEGE ST,GRAPEVINE,GRAPEVINE,TX,TX
78215,1.8249598748437021,NORTHERN HOSPITAL OF SURRY COUNTY,NORTHERN HOSPITAL OF SURRY COUNTY,830 ROCKFORD ST,830 ROCKFORD ST,MOUNT AIRY,MOUNT AIRY,NC,NC
191933,1.825360883862195,HALIFAX HEALTH MEDICAL CENTER,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,DAYTONA BEACH,FL,FL
286044,1.826116998567947,EXCELA HEALTH FRICK HOSPITAL,EXCELA HEALTH FRICK HOSPITAL,508 SOUTH CHURCH STREET,508 SOUTH CHURCH STREET,MOUNT PLEASANT,MOUNT PLEASANT,PA,PA
213394,1.826447711639638,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA COTTAGE HOSPITAL,400 WEST PUEBLO,400 WEST PUEBLO,SANTA BARBARA,SANTA BARBARA,CA,CA
262723,1.8264877314606085,SPRING VALLEY HOSPITAL MEDICAL CENTER,SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BLVD,5400 SOUTH RAINBOW BLVD,LAS VEGAS,LAS VEGAS,NV,NV
8241,1.8265651130545133,LUTHERAN HOSPITAL OF INDIANA,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,7950 W JEFFERSON BLVD,FORT WAYNE,FORT WAYNE,IN,IN
305601,1.8265874280631396,NORTHERN NAVAJO MEDICAL CENTER,NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,US HWY 491 NORTH,SHIPROCK,SHIPROCK,NM,NM
294920,1.8268401504724712,CLIFTON SPRINGS HOSPITAL AND CLINIC,CLIFTON SPRINGS HOSPITAL AND CLINIC,2 COULTER ROAD,2 COULTER ROAD,CLIFTON SPRINGS,CLIFTON SPRINGS,NY,NY
277016,1.8280905962893013,TERRE HAUTE REGIONAL HOSPITAL,TERRE HAUTE REGIONAL HOSPITAL,3901 S SEVENTH ST,3901 S SEVENTH ST,TERRE HAUTE,TERRE HAUTE,IN,IN
391483,1.8293898297455904,MERCY HEALTH SYSTEM CORP,MERCY HEALTH SYSTEM CORP,1000 MINERAL POINT AVE,1000 MINERAL POINT AVE,JANESVILLE,JANESVILLE,WI,WI
391484,1.8310169827317502,SOUTH BAY HOSPITAL,SOUTH BAY HOSPITAL,4016 SUN CITY CENTER BLVD,4016 SUN CITY CENTER BLVD,SUN CITY CENTER,SUN CITY CENTER,FL,FL
516612,1.8310510741283825,WINTER HAVEN HOSPITAL,WINTER HAVEN HOSPITAL,200 AVE F NE,200 AVE F NE,WINTER HAVEN,WINTER HAVEN,FL,FL
306538,1.8311338748948929,"LAKELAND HOSPITAL, ST JOSEPH","LAKELAND HOSPITAL, ST JOSEPH",1234 NAPIER AVENUE,1234 NAPIER AVENUE,ST JOSEPH,ST JOSEPH,MI,MI
254200,1.8316485843507755,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,1800 N CALIFORNIA ST,STOCKTON,STOCKTON,CA,CA
78810,1.8317979573746037,ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,1925 PACIFIC AVENUE,1925 PACIFIC AVENUE,ATLANTIC CITY,ATLANTIC CITY,NJ,NJ
164360,1.8322151103948525,ST ANTHONY HOSPITAL,ST ANTHONY HOSPITAL,11567 CANTERWOOD BOULEVARD NW,11567 CANTERWOOD BOULEVARD NW,GIG HARBOR,GIG HARBOR,WA,WA
418909,1.8330148303232463,ST MARKS MEDICAL CENTER,ST MARKS MEDICAL CENTER,ONE ST MARK'S PLACE,ONE ST MARK'S PLACE,LA GRANGE,LA GRANGE,TX,TX
438287,1.8336246058871715,MISSOURI BAPTIST MEDICAL CENTER,MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD,3015 N BALLAS RD,TOWN AND COUNTRY,TOWN AND COUNTRY,MO,MO
457654,1.8343690427080388,SAINT MARY'S HEALTH CARE,SAINT MARY'S HEALTH CARE,200 JEFFERSON AVENUE SE,200 JEFFERSON AVENUE SE,GRAND RAPIDS,GRAND RAPIDS,MI,MI
539496,1.8347275316709206,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,175 MADISON AVE,175 MADISON AVE,MOUNT HOLLY,MOUNT HOLLY,NJ,NJ
459410,1.8356751651890626,MIDMICHIGAN MEDICAL CENTER - WEST BRANCH,WEST BRANCH REGIONAL MEDICAL CENTER,2463 SOUTH M-30,2463 SOUTH M-30,WEST BRANCH,WEST BRANCH,MI,MI
222494,1.83600022522888,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,148 CHESTNUT STREET,NEEDHAM,NEEDHAM,MA,MA
292646,1.8363689181820344,MERCY MEDICAL CENTER-NORTH IOWA,MERCY MEDICAL CENTER-NORTH IOWA,1000 FOURTH STREET SW,1000 FOURTH STREET SW,MASON CITY,MASON CITY,IA,IA
130265,1.8371990721781275,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,1200 EAST PECAN ST,1200 EAST PECAN ST,ALTUS,ALTUS,OK,OK
319741,1.8377184803018358,BON SECOURS ST FRANCIS MEDICAL CENTER,BON SECOURS ST FRANCIS MEDICAL CENTER,13710 ST FRANCIS BOULEVARD,13710 ST FRANCIS BOULEVARD,MIDLOTHIAN,MIDLOTHIAN,VA,VA
224572,1.8377311030093757,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,4940 EASTERN AVENUE,4940 EASTERN AVENUE,BALTIMORE,BALTIMORE,MD,MD
69357,1.8385839229887018,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,200 EAST CHESTNUT STREET,LOUISVILLE,LOUISVILLE,KY,KY
337347,1.838651189821011,HOLY CROSS GERMANTOWN HOSPITAL,HOLY CROSS GERMANTOWN HOSPITAL,19801 OBSERVATION DRIVE,19801 OBSERVATION DRIVE,GERMANTOWN,GERMANTOWN,MD,MD
150020,1.8388579252366812,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,2830 CALDER AVENUE,2830 CALDER AVENUE,BEAUMONT,BEAUMONT,TX,TX
70848,1.8404535487827443,TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,8200 WALNUT HILL LANE,8200 WALNUT HILL LANE,DALLAS,DALLAS,TX,TX
266583,1.8404780029538526,THEDACARE REGIONAL MEDICAL CENTER - NEENAH INC,THEDACARE REGIONAL MEDICAL CENTER - NEENAH INC,130 2ND ST,130 2ND ST,NEENAH,NEENAH,WI,WI
